iter	Passed	Remaining
1200	3850	2561
1201	3853	2558
1202	3856	2554
1203	3859	2551
1204	3862	2548
1205	3864	2544
1206	3867	2540
1207	3870	2537
1208	3872	2533
1209	3875	2530
1210	3878	2526
1211	3880	2523
1212	3883	2519
1213	3886	2516
1214	3888	2512
1215	3891	2509
1216	3894	2505
1217	3896	2501
1218	3899	2498
1219	3904	2496
1220	3908	2493
1221	3912	2490
1222	3914	2487
1223	3917	2483
1224	3920	2480
1225	3923	2476
1226	3925	2473
1227	3928	2469
1228	3931	2466
1229	3933	2462
1230	3936	2459
1231	3939	2455
1232	3942	2452
1233	3944	2448
1234	3947	2445
1235	3950	2441
1236	3952	2438
1237	3955	2434
1238	3958	2431
1239	3960	2427
1240	3964	2424
1241	3966	2420
1242	3969	2417
1243	3974	2415
1244	3976	2411
1245	3979	2408
1246	3982	2404
1247	3984	2401
1248	3987	2397
1249	3990	2394
1250	3993	2390
1251	3995	2387
1252	3998	2383
1253	4001	2380
1254	4003	2376
1255	4006	2373
1256	4009	2369
1257	4012	2366
1258	4014	2362
1259	4017	2359
1260	4020	2355
1261	4022	2352
1262	4025	2348
1263	4028	2345
1264	4032	2343
1265	4035	2339
1266	4040	2337
1267	4042	2333
1268	4045	2330
1269	4048	2327
1270	4051	2323
1271	4054	2320
1272	4056	2316
1273	4059	2313
1274	4062	2310
1275	4065	2306
1276	4068	2303
1277	4070	2299
1278	4073	2296
1279	4076	2292
1280	4078	2289
1281	4081	2285
1282	4083	2282
1283	4086	2278
1284	4089	2275
1285	4091	2271
1286	4094	2268
1287	4097	2264
1288	4099	2261
1289	4103	2258
1290	4107	2255
1291	4110	2252
1292	4112	2248
1293	4115	2245
1294	4118	2242
1295	4121	2238
1296	4123	2235
1297	4126	2231
1298	4129	2228
1299	4132	2224
1300	4134	2221
1301	4137	2218
1302	4140	2214
1303	4142	2211
1304	4145	2207
1305	4148	2204
1306	4151	2200
1307	4153	2197
1308	4158	2195
1309	4161	2191
1310	4163	2188
1311	4166	2184
1312	4173	2183
1313	4176	2180
1314	4179	2177
1315	4182	2173
1316	4185	2170
1317	4187	2167
1318	4190	2163
1319	4193	2160
1320	4195	2156
1321	4198	2153
1322	4201	2149
1323	4203	2146
1324	4206	2142
1325	4209	2139
1326	4212	2136
1327	4214	2132
1328	4217	2129
1329	4220	2126
1330	4223	2122
1331	4226	2119
1332	4229	2116
1333	4232	2113
1334	4236	2110
1335	4241	2107
1336	4244	2104
1337	4246	2101
1338	4249	2097
1339	4252	2094
1340	4255	2091
1341	4258	2088
1342	4261	2084
1343	4264	2081
1344	4267	2078
1345	4270	2074
1346	4272	2071
1347	4275	2067
1348	4278	2064
1349	4280	2061
1350	4283	2057
1351	4286	2054
1352	4288	2050
1353	4292	2048
1354	4296	2045
1355	4299	2041
1356	4304	2039
1357	4308	2036
1358	4312	2033
1359	4315	2030
1360	4319	2028
1361	4323	2025
1362	4326	2021
1363	4328	2018
1364	4331	2015
1365	4334	2011
1366	4337	2008
1367	4339	2005
1368	4342	2001
1369	4345	1998
1370	4348	1994
1371	4350	1991
1372	4353	1988
1373	4356	1984
1374	4360	1981
1375	4366	1980
1376	4371	1977
1377	4375	1974
1378	4377	1971
1379	4380	1968
1380	4383	1964
1381	4386	1961
1382	4389	1958
1383	4392	1955
1384	4395	1951
1385	4398	1948
1386	4401	1945
1387	4404	1942
1388	4407	1938
1389	4410	1935
1390	4413	1932
1391	4416	1929
1392	4419	1925
1393	4422	1922
1394	4425	1919
1395	4428	1916
1396	4432	1913
1397	4437	1910
1398	4440	1907
1399	4444	1904
1400	4448	1902
1401	4451	1898
1402	4455	1895
1403	4458	1892
1404	4461	1889
1405	4464	1886
1406	4467	1882
1407	4470	1879
1408	4472	1876
1409	4475	1872
1410	4478	1869
1411	4481	1866
1412	4484	1863
1413	4488	1860
1414	4491	1856
1415	4494	1853
1416	4496	1850
1417	4500	1846
1418	4505	1844
1419	4509	1841
1420	4513	1838
1421	4517	1836
1422	4521	1833
1423	4525	1830
1424	4529	1827
1425	4533	1824
1426	4537	1821
1427	4541	1819
1428	4545	1816
1429	4549	1813
1430	4553	1810
1431	4557	1807
1432	4562	1805
1433	4566	1802
1434	4570	1799
1435	4574	1796
1436	4577	1793
1437	4581	1790
1438	4584	1787
1439	4588	1784
1440	4591	1781
1441	4594	1777
1442	4597	1774
1443	4600	1771
1444	4604	1768
1445	4607	1765
1446	4610	1762
1447	4614	1758
1448	4617	1755
1449	4620	1752
1450	4623	1749
1451	4627	1746
1452	4632	1744
1453	4638	1741
1454	4641	1738
1455	4645	1735
1456	4650	1733
1457	4654	1730
1458	4657	1727
1459	4661	1723
1460	4664	1720
1461	4667	1717
1462	4671	1714
1463	4675	1711
1464	4678	1708
1465	4681	1705
1466	4684	1702
1467	4687	1698
1468	4690	1695
1469	4693	1692
1470	4696	1688
1471	4698	1685
1472	4703	1682
1473	4707	1679
1474	4710	1676
1475	4714	1673
1476	4717	1670
1477	4721	1667
1478	4725	1664
1479	4728	1661
1480	4731	1658
1481	4734	1654
1482	4737	1651
1483	4740	1648
1484	4744	1645
1485	4747	1642
1486	4749	1638
1487	4752	1635
1488	4755	1632
1489	4759	1629
1490	4764	1626
1491	4766	1623
1492	4770	1619
1493	4772	1616
1494	4775	1613
1495	4778	1609
1496	4782	1606
1497	4785	1603
1498	4788	1600
1499	4791	1597
1500	4795	1594
1501	4798	1591
